Date,EW (W),MinVar (W),BL (W),EW (M),MinVar (M),BL (M),EW (Y),MinVar (Y),BL (Y),EW (Buy&Hold),MinVar (Buy&Hold),BL (Buy&Hold),SPY Buy & Hold
2021-01-19,0.004922624602996084,0.004922624602996084,0.004922624602996084,0.004922624602996084,0.004922624602996084,0.004922624602996084,0.004922624602996084,0.004922624602996084,0.004922624602996084,0.004922624602996084,0.0012155239479842983,0.003323977445738757,0.00785226827159069
2021-01-20,0.00762206203210769,0.00762206203210769,0.00762206203210769,0.00762206203210769,0.00762206203210769,0.00762206203210769,0.00762206203210769,0.00762206203210769,0.00762206203210769,0.007612782885829894,0.0071132827333750814,0.007363548207444115,0.01383881686076327
2021-01-21,-0.004922109530447694,-0.004922109530447694,-0.004922109530447694,-0.004922109530447694,-0.004922109530447694,-0.004922109530447694,-0.004922109530447694,-0.004922109530447694,-0.004922109530447694,-0.004918958325328737,-0.002375852460220651,-0.005069000509385746,0.0009116466629559561
2021-01-22,-0.003434264412463861,-0.0028711462612868166,-0.003434264412463861,-0.003434264412463861,-0.003434264412463861,-0.003434264412463861,-0.003434264412463861,-0.003434264412463861,-0.003434264412463861,-0.003430311138762132,0.0022732332341193207,-0.003145321914351129,-0.0035394637014809494
2021-01-25,-0.0006275418861769744,0.002265684964305459,-0.0006275418861769744,-0.0006275418861769744,-0.0006275418861769744,-0.0006275418861769744,-0.0006275418861769744,-0.0006275418861769744,-0.0006275418861769744,-0.0005271076281369025,0.0032937117628313306,0.0011612908234501784,0.003943869975672865
2021-01-26,-0.005839820881369473,-0.0026520845499430346,-0.005839820881369473,-0.005839820881369473,-0.005839820881369473,-0.005839820881369473,-0.005839820881369473,-0.005839820881369473,-0.005839820881369473,-0.005668256671091054,0.001353830833176639,-0.003709839628532996,-0.0015609236503960622
2021-01-27,-0.023635430888671483,-0.019561306443791282,-0.023635430888671483,-0.023635430888671483,-0.023635430888671483,-0.023635430888671483,-0.023635430888671483,-0.023635430888671483,-0.023635430888671483,-0.023242854763405263,-0.005592625462440992,-0.019910422639294767,-0.02444054135852769
2021-01-28,0.012379393163647556,0.008118359948054765,0.012379393163647556,0.012379393163647556,0.012379393163647556,0.012379393163647556,0.012379393163647556,0.012379393163647556,0.012379393163647556,0.011071230816081856,-0.001458874255836018,0.008183562364273644,0.008600035398350636
2021-01-29,-0.017232703722032672,-0.01638192576441566,-0.017232703722032672,-0.017232703722032672,-0.017232703722032672,-0.017232703722032672,-0.017232703722032672,-0.017232703722032672,-0.017232703722032672,-0.017121714176547842,-0.0015941999405238994,-0.01664910294772226,-0.020019560206157028
2021-02-01,0.013910963692752354,0.010517165829516895,0.013910963692752354,0.013910963692752354,0.013910963692752354,0.013910963692752354,0.013910963692752354,0.013910963692752354,0.013910963692752354,0.013700509438074215,0.004909872185276498,0.01192310681326858,0.016645763685563253
2021-02-02,0.014165528210719591,0.00851757978444323,0.014165528210719591,0.014165528210719591,0.014165528210719591,0.014165528210719591,0.014165528210719591,0.014165528210719591,0.014165528210719591,0.01375107362498551,0.0010665245714653881,0.012480842284342764,0.014140025406269574
2021-02-03,0.0021133512433615387,0.0034543640521689234,0.0021133512433615387,0.0021133512433615387,0.0021133512433615387,0.0021133512433615387,0.0021133512433615387,0.0021133512433615387,0.0021133512433615387,0.001875802667725024,0.0028870894210122344,0.0017903142151560747,0.0007862283906077128
2021-02-04,0.012737534666321215,0.011367052170417224,0.012737534666321215,0.012737534666321215,0.012737534666321215,0.012737534666321215,0.012737534666321215,0.012737534666321215,0.012737534666321215,0.012690792559370223,0.0036873447957914696,0.011300759047002895,0.011365927559602529
2021-02-05,0.005545121652800189,0.0039738468806025384,0.005545121652800189,0.005545121652800189,0.005545121652800189,0.005545121652800189,0.005545121652800189,0.005545121652800189,0.005545121652800189,0.0056378606944598175,0.00016297868135395355,0.005296808743302961,0.0039358020594539855
2021-02-08,0.0108971910174549,0.005467480073167996,0.0108971910174549,0.0108971910174549,0.0108971910174549,0.0108971910174549,0.0108971910174549,0.0108971910174549,0.0108971910174549,0.01099470218526788,0.0029764942155556806,0.009166392197479167,0.007221991321097132
